oldPropertyKey,newPropertyKey
spring.application.name,spring.application.names
validation.email.regex,validation.email.regexr
membership-settings.max-members,membership.settings.maximum-members
membership-settings.min-members,membership.settings.min-members
java.io.tmpdir,java.io.tmpdirs
identity.adapters[0].appId,identiti.adapter[0].appIds
auto-generate-cif.enabled,auto.generate.cif.enabled
kafka.topics.user-data-changed,kafka.topics.user-data-changed-topic
identity-settings[0].entityId,identity.settings[0].entityIds
mobile.country.whitelists[0].appId,mobile.country.whitelist[0].app-ids
identity.callback.whitelist,identity.callback.whitelists
